Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2007-01-03,2.524615526199341,48.486602783203125,1.934999942779541,45.75390625,64.40571594238281,38.16619873046875,8.967413902282715,18.503929138183594,35.93167495727539,27.971548080444336,150.3983917236328,25.984512329101562,28.771080017089844,52.58292770385742,39.214385986328125,30.302865982055664,13.99814510345459,26.53302574157715,38.137184143066406,22.408771514892578,21.320466995239258,9.68374252319336,0.5514736771583557,38.616390228271484,16.70307159423828,34.74579620361328,41.90039825439453,,14.300734519958496,10.829031944274902
2007-01-04,2.5806527137756348,50.5635871887207,1.9450000524520874,45.420379638671875,64.6657485961914,38.066349029541016,9.417400360107422,18.99104881286621,35.582313537597656,28.192378997802734,148.99722290039062,25.668163299560547,28.758317947387695,53.1451416015625,39.7045783996582,30.378509521484375,14.003899574279785,26.333436965942383,37.98610305786133,22.96363639831543,21.284772872924805,9.782888412475586,0.5488755702972412,38.32320785522461,16.618724822998047,34.45380783081055,42.1713981628418,,14.380142211914062,10.881413459777832
2007-01-05,2.56227445602417,50.68408966064453,1.9184999465942383,44.82154083251953,64.3912582397461,37.57959747314453,9.825122833251953,18.99772834777832,35.71902847290039,27.96336555480957,149.14712524414062,25.174663543701172,28.484012603759766,52.66402053833008,39.34431838989258,30.12635612487793,13.905940055847168,26.333436965942383,37.72783279418945,22.55130958557129,21.163387298583984,9.798752784729004,0.5144848823547363,37.99412536621094,16.3314266204834,34.006107330322266,41.88445281982422,,14.13435173034668,10.792597770690918
2007-01-08,2.5749287605285645,50.280033111572266,1.875,45.24603271484375,64.23957061767578,37.62329864501953,9.92705249786377,19.1044864654541,36.1746826171875,28.216907501220703,152.65382385253906,24.98485565185547,28.6562557220459,53.46405792236328,39.279354095458984,30.227216720581055,13.995261192321777,26.436260223388672,37.8106803894043,22.54622459411621,21.37046241760254,9.76900863647461,0.5183063745498657,38.0778923034668,16.26289939880371,33.753055572509766,42.49819564819336,,14.071279525756836,10.703778266906738
2007-01-09,2.7888262271881104,50.52105712890625,1.8890000581741333,44.957977294921875,63.56064987182617,37.829219818115234,9.934511184692383,18.99772834777832,35.759525299072266,28.176015853881836,152.916015625,24.877296447753906,28.860397338867188,54.096561431884766,39.1317138671875,30.10114860534668,14.006783485412598,26.484642028808594,37.85452651977539,22.33750343322754,21.391870498657227,9.890965461730957,0.5082184672355652,37.982154846191406,16.42104148864746,33.66870880126953,41.98807144165039,,14.128623008728027,10.792597770690918
2007-01-10,2.922288417816162,50.35801315307617,1.8574999570846558,44.927669525146484,64.47793579101562,37.642005920410156,10.001636505126953,19.137849807739258,35.141845703125,28.208728790283203,155.93568420410156,25.168333053588867,28.6817626953125,53.458683013916016,39.06673812866211,30.321762084960938,14.026956558227539,26.768905639648438,37.93736267089844,22.45967674255371,21.177669525146484,9.890965461730957,0.5332851409912109,38.436893463134766,16.613449096679688,33.448097229003906,42.10763168334961,,14.048344612121582,10.767544746398926
2007-01-11,2.886136770248413,50.97473907470703,1.8700000047683716,45.0640983581543,64.16735076904297,37.44230270385742,10.37704086303711,19.14453125,34.77730941772461,28.617666244506836,158.7605743408203,25.358150482177734,29.160221099853516,53.32893753051758,39.40928268432617,30.45415496826172,14.044241905212402,26.92009925842285,38.32722091674805,22.530946731567383,21.920246124267578,9.912776947021484,0.5312976837158203,38.67622756958008,16.84276008605957,33.221004486083984,43.39885330200195,,14.185959815979004,10.84041690826416
2007-01-12,2.850587844848633,51.93879699707031,1.909999966621399,44.7305793762207,63.65452194213867,37.28005599975586,10.54609489440918,19.298006057739258,35.61775207519531,28.797607421875,160.3415069580078,25.37713050842285,29.06454849243164,53.70194625854492,39.35612487792969,30.25242805480957,13.98949146270752,26.744709014892578,38.673213958740234,22.800743103027344,22.284385681152344,9.890965461730957,0.5384823083877563,38.89162063598633,16.826948165893555,33.1301383972168,43.91691207885742,,14.270064353942871,10.926960945129395
2007-01-16,2.9253013134002686,52.10183334350586,1.9329999685287476,44.82154083251953,63.56064987182617,36.9680290222168,10.764873504638672,18.710792541503906,35.27348709106445,28.650386810302734,160.04183959960938,25.491010665893555,29.102811813354492,54.50201416015625,39.29707336425781,30.504575729370117,13.97508716583252,26.956390380859375,38.77067184448242,22.882192611694336,22.24869155883789,9.91178035736084,0.5393992066383362,38.89162063598633,16.697792053222656,33.12366485595703,44.43498992919922,,14.205080032348633,11.002117156982422
2007-01-17,2.8605289459228516,52.406654357910156,1.8940000534057617,44.889774322509766,64.16014099121094,37.38615036010742,10.603277206420898,18.003463745117188,35.85572814941406,28.830324172973633,159.77206420898438,25.491010665893555,29.05178451538086,54.069541931152344,39.49196243286133,30.529804229736328,14.003899574279785,27.131793975830078,38.45392608642578,22.912744522094727,22.205854415893555,9.896909713745117,0.5280880331993103,39.29441833496094,16.84539222717285,33.06526565551758,44.35527801513672,,14.098041534423828,10.97706413269043
2007-01-18,2.6833839416503906,52.236534118652344,1.8489999771118164,44.72300720214844,63.56064987182617,37.56803894042969,10.304943084716797,17.64979362487793,35.90635299682617,29.321046829223633,157.11204528808594,25.85796546936035,28.732797622680664,53.76140213012695,39.9880485534668,30.353300094604492,13.931865692138672,26.968482971191406,38.40520477294922,23.284347534179688,22.134449005126953,9.882035255432129,0.48437437415122986,39.402645111083984,16.779502868652344,33.27939224243164,42.88075637817383,,14.361802101135254,11.02033519744873
